Dataset:  Cora
Experiment  76  summary: mean test accuracy:0.6703

Experiment  77 run  1 , total time: 2.302 learning rate: 0.0045, smoothing factor: 0.6, test accuracy: 0.75
Experiment  77 run  2 , total time: 2.263 learning rate: 0.0045, smoothing factor: 0.6, test accuracy: 0.737
Experiment  77 run  3 , total time: 2.285 learning rate: 0.0045, smoothing factor: 0.6, test accuracy: 0.708
Experiment  77  summary: mean test accuracy:0.7317

Experiment  78 run  1 , total time: 2.263 learning rate: 0.0045, smoothing factor: 0.7, test accuracy: 0.737
Experiment  78 run  2 , total time: 2.352 learning rate: 0.0045, smoothing factor: 0.7, test accuracy: 0.743
Experiment  78 run  3 , total time: 2.292 learning rate: 0.0045, smoothing factor: 0.7, test accuracy: 0.734
Experiment  78  summary: mean test accuracy:0.738

Experiment  79 run  1 , total time: 2.306 learning rate: 0.0045, smoothing factor: 0.8, test accuracy: 0.739
Experiment  79 run  2 , total time: 2.32 learning rate: 0.0045, smoothing factor: 0.8, test accuracy: 0.751
Experiment  79 run  3 , total time: 2.316 learning rate: 0.0045, smoothing factor: 0.8, test accuracy: 0.732
Experiment  79  summary: mean test accuracy:0.7407

Experiment  80 run  1 , total time: 2.268 learning rate: 0.0045, smoothing factor: 0.9, test accuracy: 0.691
Experiment  80 run  2 , total time: 2.242 learning rate: 0.0045, smoothing factor: 0.9, test accuracy: 0.702
Experiment  80 run  3 , total time: 2.233 learning rate: 0.0045, smoothing factor: 0.9, test accuracy: 0.688
Experiment  80  summary: mean test accuracy:0.6937

Experiment  81 run  1 , total time: 2.267 learning rate: 0.005, smoothing factor: 0.0, test accuracy: 0.689
Experiment  81 run  2 , total time: 2.346 learning rate: 0.005, smoothing factor: 0.0, test accuracy: 0.712
Experiment  81 run  3 , total time: 2.233 learning rate: 0.005, smoothing factor: 0.0, test accuracy: 0.719
Experiment  81  summary: mean test accuracy:0.7067

Experiment  82 run  1 , total time: 2.263 learning rate: 0.005, smoothing factor: 0.1, test accuracy: 0.676
Experiment  82 run  2 , total time: 2.256 learning rate: 0.005, smoothing factor: 0.1, test accuracy: 0.676
Experiment  82 run  3 , total time: 2.358 learning rate: 0.005, smoothing factor: 0.1, test accuracy: 0.722
Experiment  82  summary: mean test accuracy:0.6913

Experiment  83 run  1 , total time: 2.253 learning rate: 0.005, smoothing factor: 0.2, test accuracy: 0.65
Experiment  83 run  2 , total time: 2.284 learning rate: 0.005, smoothing factor: 0.2, test accuracy: 0.689
Experiment  83 run  3 , total time: 2.243 learning rate: 0.005, smoothing factor: 0.2, test accuracy: 0.659
Experiment  83  summary: mean test accuracy:0.666

Experiment  84 run  1 , total time: 2.266 learning rate: 0.005, smoothing factor: 0.3, test accuracy: 0.703
Experiment  84 run  2 , total time: 2.294 learning rate: 0.005, smoothing factor: 0.3, test accuracy: 0.647
Experiment  84 run  3 , total time: 2.273 learning rate: 0.005, smoothing factor: 0.3, test accuracy: 0.622
Experiment  84  summary: mean test accuracy:0.6573

Experiment  85 run  1 , total time: 2.339 learning rate: 0.005, smoothing factor: 0.4, test accuracy: 0.71
Experiment  85 run  2 , total time: 3.777 learning rate: 0.005, smoothing factor: 0.4, test accuracy: 0.73
Experiment  85 run  3 , total time: 2.856 learning rate: 0.005, smoothing factor: 0.4, test accuracy: 0.699
Experiment  85  summary: mean test accuracy:0.713

Experiment  86 run  1 , total time: 2.701 learning rate: 0.005, smoothing factor: 0.5, test accuracy: 0.731
Experiment  86 run  2 , total time: 2.951 learning rate: 0.005, smoothing factor: 0.5, test accuracy: 0.749
Experiment  86 run  3 , total time: 2.378 learning rate: 0.005, smoothing factor: 0.5, test accuracy: 0.689
Experiment  86  summary: mean test accuracy:0.723

Experiment  87 run  1 , total time: 2.353 learning rate: 0.005, smoothing factor: 0.6, test accuracy: 0.732
Experiment  87 run  2 , total time: 2.347 learning rate: 0.005, smoothing factor: 0.6, test accuracy: 0.711
Experiment  87 run  3 , total time: 2.399 learning rate: 0.005, smoothing factor: 0.6, test accuracy: 0.614
Experiment  87  summary: mean test accuracy:0.6857

Experiment  88 run  1 , total time: 2.328 learning rate: 0.005, smoothing factor: 0.7, test accuracy: 0.761
Experiment  88 run  2 , total time: 2.261 learning rate: 0.005, smoothing factor: 0.7, test accuracy: 0.742
Experiment  88 run  3 , total time: 2.296 learning rate: 0.005, smoothing factor: 0.7, test accuracy: 0.737
Experiment  88  summary: mean test accuracy:0.7467

Experiment  89 run  1 , total time: 2.296 learning rate: 0.005, smoothing factor: 0.8, test accuracy: 0.708
Experiment  89 run  2 , total time: 2.496 learning rate: 0.005, smoothing factor: 0.8, test accuracy: 0.753
Experiment  89 run  3 , total time: 2.325 learning rate: 0.005, smoothing factor: 0.8, test accuracy: 0.721
Experiment  89  summary: mean test accuracy:0.7273

Experiment  90 run  1 , total time: 2.318 learning rate: 0.005, smoothing factor: 0.9, test accuracy: 0.684
Experiment  90 run  2 , total time: 2.252 learning rate: 0.005, smoothing factor: 0.9, test accuracy: 0.732
Experiment  90 run  3 , total time: 2.37 learning rate: 0.005, smoothing factor: 0.9, test accuracy: 0.706
Experiment  90  summary: mean test accuracy:0.7073

Experiment  91 run  1 , total time: 2.354 learning rate: 0.0055, smoothing factor: 0.0, test accuracy: 0.693
Experiment  91 run  2 , total time: 2.301 learning rate: 0.0055, smoothing factor: 0.0, test accuracy: 0.671
Experiment  91 run  3 , total time: 2.28 learning rate: 0.0055, smoothing factor: 0.0, test accuracy: 0.648
Experiment  91  summary: mean test accuracy:0.6707

Experiment  92 run  1 , total time: 2.274 learning rate: 0.0055, smoothing factor: 0.1, test accuracy: 0.71
Experiment  92 run  2 , total time: 2.333 learning rate: 0.0055, smoothing factor: 0.1, test accuracy: 0.625
Experiment  92 run  3 , total time: 2.251 learning rate: 0.0055, smoothing factor: 0.1, test accuracy: 0.442
Experiment  92  summary: mean test accuracy:0.5923

Experiment  93 run  1 , total time: 2.288 learning rate: 0.0055, smoothing factor: 0.2, test accuracy: 0.745
Experiment  93 run  2 , total time: 2.28 learning rate: 0.0055, smoothing factor: 0.2, test accuracy: 0.672
Experiment  93 run  3 , total time: 2.276 learning rate: 0.0055, smoothing factor: 0.2, test accuracy: 0.762
Experiment  93  summary: mean test accuracy:0.7263

Experiment  94 run  1 , total time: 2.319 learning rate: 0.0055, smoothing factor: 0.3, test accuracy: 0.575
Experiment  94 run  2 , total time: 2.301 learning rate: 0.0055, smoothing factor: 0.3, test accuracy: 0.639
Experiment  94 run  3 , total time: 2.294 learning rate: 0.0055, smoothing factor: 0.3, test accuracy: 0.692
Experiment  94  summary: mean test accuracy:0.6353

Experiment  95 run  1 , total time: 2.324 learning rate: 0.0055, smoothing factor: 0.4, test accuracy: 0.712
Experiment  95 run  2 , total time: 2.285 learning rate: 0.0055, smoothing factor: 0.4, test accuracy: 0.637
Experiment  95 run  3 , total time: 2.318 learning rate: 0.0055, smoothing factor: 0.4, test accuracy: 0.751
Experiment  95  summary: mean test accuracy:0.7

Experiment  96 run  1 , total time: 2.299 learning rate: 0.0055, smoothing factor: 0.5, test accuracy: 0.639
Experiment  96 run  2 , total time: 2.25 learning rate: 0.0055, smoothing factor: 0.5, test accuracy: 0.71
Experiment  96 run  3 , total time: 2.281 learning rate: 0.0055, smoothing factor: 0.5, test accuracy: 0.747
Experiment  96  summary: mean test accuracy:0.6987

Experiment  97 run  1 , total time: 2.27 learning rate: 0.0055, smoothing factor: 0.6, test accuracy: 0.698
Experiment  97 run  2 , total time: 2.323 learning rate: 0.0055, smoothing factor: 0.6, test accuracy: 0.748
Experiment  97 run  3 , total time: 2.271 learning rate: 0.0055, smoothing factor: 0.6, test accuracy: 0.649
Experiment  97  summary: mean test accuracy:0.6983

Experiment  98 run  1 , total time: 2.3 learning rate: 0.0055, smoothing factor: 0.7, test accuracy: 0.763
Experiment  98 run  2 , total time: 2.3 learning rate: 0.0055, smoothing factor: 0.7, test accuracy: 0.669
Experiment  98 run  3 , total time: 2.287 learning rate: 0.0055, smoothing factor: 0.7, test accuracy: 0.764
Experiment  98  summary: mean test accuracy:0.732

Experiment  99 run  1 , total time: 2.267 learning rate: 0.0055, smoothing factor: 0.8, test accuracy: 0.721
Experiment  99 run  2 , total time: 2.346 learning rate: 0.0055, smoothing factor: 0.8, test accuracy: 0.736
Experiment  99 run  3 , total time: 2.308 learning rate: 0.0055, smoothing factor: 0.8, test accuracy: 0.689
Experiment  99  summary: mean test accuracy:0.7153

Experiment  100 run  1 , total time: 2.289 learning rate: 0.0055, smoothing factor: 0.9, test accuracy: 0.723
Experiment  100 run  2 , total time: 2.278 learning rate: 0.0055, smoothing factor: 0.9, test accuracy: 0.703
Experiment  100 run  3 , total time: 2.261 learning rate: 0.0055, smoothing factor: 0.9, test accuracy: 0.717
Experiment  100  summary: mean test accuracy:0.7143

Experiment  101 run  1 , total time: 2.288 learning rate: 0.006, smoothing factor: 0.0, test accuracy: 0.671
Experiment  101 run  2 , total time: 2.287 learning rate: 0.006, smoothing factor: 0.0, test accuracy: 0.705
Experiment  101 run  3 , total time: 2.42 learning rate: 0.006, smoothing factor: 0.0, test accuracy: 0.691
Experiment  101  summary: mean test accuracy:0.689

Experiment  102 run  1 , total time: 2.268 learning rate: 0.006, smoothing factor: 0.1, test accuracy: 0.759
Experiment  102 run  2 , total time: 2.382 learning rate: 0.006, smoothing factor: 0.1, test accuracy: 0.711
Experiment  102 run  3 , total time: 2.289 learning rate: 0.006, smoothing factor: 0.1, test accuracy: 0.559
Experiment  102  summary: mean test accuracy:0.6763

Experiment  103 run  1 , total time: 2.268 learning rate: 0.006, smoothing factor: 0.2, test accuracy: 0.705
Experiment  103 run  2 , total time: 2.298 learning rate: 0.006, smoothing factor: 0.2, test accuracy: 0.62
Experiment  103 run  3 , total time: 2.326 learning rate: 0.006, smoothing factor: 0.2, test accuracy: 0.709
Experiment  103  summary: mean test accuracy:0.678

Experiment  104 run  1 , total time: 2.34 learning rate: 0.006, smoothing factor: 0.3, test accuracy: 0.663
Experiment  104 run  2 , total time: 2.284 learning rate: 0.006, smoothing factor: 0.3, test accuracy: 0.634
Experiment  104 run  3 , total time: 2.321 learning rate: 0.006, smoothing factor: 0.3, test accuracy: 0.759
Experiment  104  summary: mean test accuracy:0.6853

Experiment  105 run  1 , total time: 2.244 learning rate: 0.006, smoothing factor: 0.4, test accuracy: 0.661
Experiment  105 run  2 , total time: 2.272 learning rate: 0.006, smoothing factor: 0.4, test accuracy: 0.672
Experiment  105 run  3 , total time: 2.323 learning rate: 0.006, smoothing factor: 0.4, test accuracy: 0.619
Experiment  105  summary: mean test accuracy:0.6507

Experiment  106 run  1 , total time: 2.333 learning rate: 0.006, smoothing factor: 0.5, test accuracy: 0.764
Experiment  106 run  2 , total time: 2.254 learning rate: 0.006, smoothing factor: 0.5, test accuracy: 0.642
Experiment  106 run  3 , total time: 2.274 learning rate: 0.006, smoothing factor: 0.5, test accuracy: 0.705
Experiment  106  summary: mean test accuracy:0.7037

Experiment  107 run  1 , total time: 2.288 learning rate: 0.006, smoothing factor: 0.6, test accuracy: 0.704
Experiment  107 run  2 , total time: 2.27 learning rate: 0.006, smoothing factor: 0.6, test accuracy: 0.74
Experiment  107 run  3 , total time: 2.274 learning rate: 0.006, smoothing factor: 0.6, test accuracy: 0.73
Experiment  107  summary: mean test accuracy:0.7247

Experiment  108 run  1 , total time: 2.324 learning rate: 0.006, smoothing factor: 0.7, test accuracy: 0.647
Experiment  108 run  2 , total time: 2.337 learning rate: 0.006, smoothing factor: 0.7, test accuracy: 0.751
Experiment  108 run  3 , total time: 3.015 learning rate: 0.006, smoothing factor: 0.7, test accuracy: 0.738
Experiment  108  summary: mean test accuracy:0.712

Experiment  109 run  1 , total time: 3.012 learning rate: 0.006, smoothing factor: 0.8, test accuracy: 0.731
Experiment  109 run  2 , total time: 2.798 learning rate: 0.006, smoothing factor: 0.8, test accuracy: 0.733
Experiment  109 run  3 , total time: 2.807 learning rate: 0.006, smoothing factor: 0.8, test accuracy: 0.716
Experiment  109  summary: mean test accuracy:0.7267

Experiment  110 run  1 , total time: 2.646 learning rate: 0.006, smoothing factor: 0.9, test accuracy: 0.713
Experiment  110 run  2 , total time: 2.648 learning rate: 0.006, smoothing factor: 0.9, test accuracy: 0.724
Experiment  110 run  3 , total time: 2.44 learning rate: 0.006, smoothing factor: 0.9, test accuracy: 0.72
Experiment  110  summary: mean test accuracy:0.719

Experiment  111 run  1 , total time: 2.998 learning rate: 0.0065, smoothing factor: 0.0, test accuracy: 0.762
Experiment  111 run  2 , total time: 2.426 learning rate: 0.0065, smoothing factor: 0.0, test accuracy: 0.726
Experiment  111 run  3 , total time: 2.302 learning rate: 0.0065, smoothing factor: 0.0, test accuracy: 0.705
Experiment  111  summary: mean test accuracy:0.731

Experiment  112 run  1 , total time: 2.386 learning rate: 0.0065, smoothing factor: 0.1, test accuracy: 0.646
Experiment  112 run  2 , total time: 2.333 learning rate: 0.0065, smoothing factor: 0.1, test accuracy: 0.664
Experiment  112 run  3 , total time: 2.304 learning rate: 0.0065, smoothing factor: 0.1, test accuracy: 0.638
Experiment  112  summary: mean test accuracy:0.6493

Experiment  113 run  1 , total time: 2.285 learning rate: 0.0065, smoothing factor: 0.2, test accuracy: 0.703
Experiment  113 run  2 , total time: 2.319 learning rate: 0.0065, smoothing factor: 0.2, test accuracy: 0.689
Experiment  113 run  3 , total time: 2.309 learning rate: 0.0065, smoothing factor: 0.2, test accuracy: 0.555
Experiment  113  summary: mean test accuracy:0.649

Experiment  114 run  1 , total time: 2.299 learning rate: 0.0065, smoothing factor: 0.3, test accuracy: 0.712
Experiment  114 run  2 , total time: 2.29 learning rate: 0.0065, smoothing factor: 0.3, test accuracy: 0.636
Experiment  114 run  3 , total time: 2.26 learning rate: 0.0065, smoothing factor: 0.3, test accuracy: 0.706
Experiment  114  summary: mean test accuracy:0.6847

Experiment  115 run  1 , total time: 2.375 learning rate: 0.0065, smoothing factor: 0.4, test accuracy: 0.616
Experiment  115 run  2 , total time: 2.285 learning rate: 0.0065, smoothing factor: 0.4, test accuracy: 0.75
Experiment  115 run  3 , total time: 2.294 learning rate: 0.0065, smoothing factor: 0.4, test accuracy: 0.692
Experiment  115  summary: mean test accuracy:0.686

Experiment  116 run  1 , total time: 2.315 learning rate: 0.0065, smoothing factor: 0.5, test accuracy: 0.71
Experiment  116 run  2 , total time: 2.288 learning rate: 0.0065, smoothing factor: 0.5, test accuracy: 0.638
Experiment  116 run  3 , total time: 2.301 learning rate: 0.0065, smoothing factor: 0.5, test accuracy: 0.746
Experiment  116  summary: mean test accuracy:0.698

Experiment  117 run  1 , total time: 2.284 learning rate: 0.0065, smoothing factor: 0.6, test accuracy: 0.764
Experiment  117 run  2 , total time: 2.271 learning rate: 0.0065, smoothing factor: 0.6, test accuracy: 0.738
Experiment  117 run  3 , total time: 2.271 learning rate: 0.0065, smoothing factor: 0.6, test accuracy: 0.733
Experiment  117  summary: mean test accuracy:0.745

Experiment  118 run  1 , total time: 2.286 learning rate: 0.0065, smoothing factor: 0.7, test accuracy: 0.758
Experiment  118 run  2 , total time: 2.307 learning rate: 0.0065, smoothing factor: 0.7, test accuracy: 0.783
Experiment  118 run  3 , total time: 2.302 learning rate: 0.0065, smoothing factor: 0.7, test accuracy: 0.748
Experiment  118  summary: mean test accuracy:0.763

Experiment  119 run  1 , total time: 2.263 learning rate: 0.0065, smoothing factor: 0.8, test accuracy: 0.764
Experiment  119 run  2 , total time: 2.275 learning rate: 0.0065, smoothing factor: 0.8, test accuracy: 0.754
Experiment  119 run  3 , total time: 2.298 learning rate: 0.0065, smoothing factor: 0.8, test accuracy: 0.723
Experiment  119  summary: mean test accuracy:0.747

Experiment  120 run  1 , total time: 2.283 learning rate: 0.0065, smoothing factor: 0.9, test accuracy: 0.651
Experiment  120 run  2 , total time: 2.274 learning rate: 0.0065, smoothing factor: 0.9, test accuracy: 0.697
Experiment  120 run  3 , total time: 2.333 learning rate: 0.0065, smoothing factor: 0.9, test accuracy: 0.734
Experiment  120  summary: mean test accuracy:0.694

Experiment  121 run  1 , total time: 2.325 learning rate: 0.007, smoothing factor: 0.0, test accuracy: 0.643
Experiment  121 run  2 , total time: 2.294 learning rate: 0.007, smoothing factor: 0.0, test accuracy: 0.664
Experiment  121 run  3 , total time: 2.287 learning rate: 0.007, smoothing factor: 0.0, test accuracy: 0.651
Experiment  121  summary: mean test accuracy:0.6527

Experiment  122 run  1 , total time: 2.434 learning rate: 0.007, smoothing factor: 0.1, test accuracy: 0.744
Experiment  122 run  2 , total time: 2.313 learning rate: 0.007, smoothing factor: 0.1, test accuracy: 0.665
Experiment  122 run  3 , total time: 2.281 learning rate: 0.007, smoothing factor: 0.1, test accuracy: 0.745
Experiment  122  summary: mean test accuracy:0.718

Experiment  123 run  1 , total time: 2.272 learning rate: 0.007, smoothing factor: 0.2, test accuracy: 0.623
Experiment  123 run  2 , total time: 2.322 learning rate: 0.007, smoothing factor: 0.2, test accuracy: 0.714
Experiment  123 run  3 , total time: 2.319 learning rate: 0.007, smoothing factor: 0.2, test accuracy: 0.679
Experiment  123  summary: mean test accuracy:0.672

Experiment  124 run  1 , total time: 2.322 learning rate: 0.007, smoothing factor: 0.3, test accuracy: 0.517
Experiment  124 run  2 , total time: 2.291 learning rate: 0.007, smoothing factor: 0.3, test accuracy: 0.718
Experiment  124 run  3 , total time: 2.353 learning rate: 0.007, smoothing factor: 0.3, test accuracy: 0.676
Experiment  124  summary: mean test accuracy:0.637

Experiment  125 run  1 , total time: 2.307 learning rate: 0.007, smoothing factor: 0.4, test accuracy: 0.725
Experiment  125 run  2 , total time: 2.295 learning rate: 0.007, smoothing factor: 0.4, test accuracy: 0.642
Experiment  125 run  3 , total time: 2.31 learning rate: 0.007, smoothing factor: 0.4, test accuracy: 0.672
Experiment  125  summary: mean test accuracy:0.6797

Experiment  126 run  1 , total time: 2.343 learning rate: 0.007, smoothing factor: 0.5, test accuracy: 0.757
Experiment  126 run  2 , total time: 2.373 learning rate: 0.007, smoothing factor: 0.5, test accuracy: 0.707
Experiment  126 run  3 , total time: 2.322 learning rate: 0.007, smoothing factor: 0.5, test accuracy: 0.669
Experiment  126  summary: mean test accuracy:0.711

Experiment  127 run  1 , total time: 2.341 learning rate: 0.007, smoothing factor: 0.6, test accuracy: 0.74
Experiment  127 run  2 , total time: 2.384 learning rate: 0.007, smoothing factor: 0.6, test accuracy: 0.682
Experiment  127 run  3 , total time: 2.295 learning rate: 0.007, smoothing factor: 0.6, test accuracy: 0.747
Experiment  127  summary: mean test accuracy:0.723

Experiment  128 run  1 , total time: 2.289 learning rate: 0.007, smoothing factor: 0.7, test accuracy: 0.765
Experiment  128 run  2 , total time: 2.331 learning rate: 0.007, smoothing factor: 0.7, test accuracy: 0.748
Experiment  128 run  3 , total time: 2.27 learning rate: 0.007, smoothing factor: 0.7, test accuracy: 0.764
Experiment  128  summary: mean test accuracy:0.759

Experiment  129 run  1 , total time: 2.332 learning rate: 0.007, smoothing factor: 0.8, test accuracy: 0.743
Experiment  129 run  2 , total time: 2.284 learning rate: 0.007, smoothing factor: 0.8, test accuracy: 0.755
Experiment  129 run  3 , total time: 2.329 learning rate: 0.007, smoothing factor: 0.8, test accuracy: 0.739
Experiment  129  summary: mean test accuracy:0.7457

Experiment  130 run  1 , total time: 2.284 learning rate: 0.007, smoothing factor: 0.9, test accuracy: 0.729
Experiment  130 run  2 , total time: 2.286 learning rate: 0.007, smoothing factor: 0.9, test accuracy: 0.69
Experiment  130 run  3 , total time: 2.278 learning rate: 0.007, smoothing factor: 0.9, test accuracy: 0.729
Experiment  130  summary: mean test accuracy:0.716

Experiment  131 run  1 , total time: 2.314 learning rate: 0.0075, smoothing factor: 0.0, test accuracy: 0.75
Experiment  131 run  2 , total time: 2.28 learning rate: 0.0075, smoothing factor: 0.0, test accuracy: 0.636
Experiment  131 run  3 , total time: 2.544 learning rate: 0.0075, smoothing factor: 0.0, test accuracy: 0.685
Experiment  131  summary: mean test accuracy:0.6903

Experiment  132 run  1 , total time: 2.395 learning rate: 0.0075, smoothing factor: 0.1, test accuracy: 0.635
Experiment  132 run  2 , total time: 2.258 learning rate: 0.0075, smoothing factor: 0.1, test accuracy: 0.644
Experiment  132 run  3 , total time: 2.319 learning rate: 0.0075, smoothing factor: 0.1, test accuracy: 0.684
Experiment  132  summary: mean test accuracy:0.6543

Experiment  133 run  1 , total time: 2.289 learning rate: 0.0075, smoothing factor: 0.2, test accuracy: 0.685
Experiment  133 run  2 , total time: 2.339 learning rate: 0.0075, smoothing factor: 0.2, test accuracy: 0.765
Experiment  133 run  3 , total time: 2.274 learning rate: 0.0075, smoothing factor: 0.2, test accuracy: 0.707
Experiment  133  summary: mean test accuracy:0.719

Experiment  134 run  1 , total time: 2.336 learning rate: 0.0075, smoothing factor: 0.3, test accuracy: 0.582
Experiment  134 run  2 , total time: 2.271 learning rate: 0.0075, smoothing factor: 0.3, test accuracy: 0.686
Experiment  134 run  3 , total time: 2.326 learning rate: 0.0075, smoothing factor: 0.3, test accuracy: 0.71
Experiment  134  summary: mean test accuracy:0.6593

Experiment  135 run  1 , total time: 2.303 learning rate: 0.0075, smoothing factor: 0.4, test accuracy: 0.721
Experiment  135 run  2 , total time: 2.327 learning rate: 0.0075, smoothing factor: 0.4, test accuracy: 0.724
Experiment  135 run  3 , total time: 2.288 learning rate: 0.0075, smoothing factor: 0.4, test accuracy: 0.693
Experiment  135  summary: mean test accuracy:0.7127

Experiment  136 run  1 , total time: 2.284 learning rate: 0.0075, smoothing factor: 0.5, test accuracy: 0.753
Experiment  136 run  2 , total time: 2.292 learning rate: 0.0075, smoothing factor: 0.5, test accuracy: 0.738
Experiment  136 run  3 , total time: 2.285 learning rate: 0.0075, smoothing factor: 0.5, test accuracy: 0.732
Experiment  136  summary: mean test accuracy:0.741

Experiment  137 run  1 , total time: 2.37 learning rate: 0.0075, smoothing factor: 0.6, test accuracy: 0.724
Experiment  137 run  2 , total time: 2.339 learning rate: 0.0075, smoothing factor: 0.6, test accuracy: 0.739
Experiment  137 run  3 , total time: 2.355 learning rate: 0.0075, smoothing factor: 0.6, test accuracy: 0.716
Experiment  137  summary: mean test accuracy:0.7263

Experiment  138 run  1 , total time: 2.305 learning rate: 0.0075, smoothing factor: 0.7, test accuracy: 0.744
Experiment  138 run  2 , total time: 2.494 learning rate: 0.0075, smoothing factor: 0.7, test accuracy: 0.727
Experiment  138 run  3 , total time: 2.283 learning rate: 0.0075, smoothing factor: 0.7, test accuracy: 0.734
Experiment  138  summary: mean test accuracy:0.735

Experiment  139 run  1 , total time: 2.312 learning rate: 0.0075, smoothing factor: 0.8, test accuracy: 0.719
Experiment  139 run  2 , total time: 2.306 learning rate: 0.0075, smoothing factor: 0.8, test accuracy: 0.753
Experiment  139 run  3 , total time: 2.347 learning rate: 0.0075, smoothing factor: 0.8, test accuracy: 0.745
Experiment  139  summary: mean test accuracy:0.739

Experiment  140 run  1 , total time: 2.283 learning rate: 0.0075, smoothing factor: 0.9, test accuracy: 0.723
Experiment  140 run  2 , total time: 2.293 learning rate: 0.0075, smoothing factor: 0.9, test accuracy: 0.677
Experiment  140 run  3 , total time: 2.309 learning rate: 0.0075, smoothing factor: 0.9, test accuracy: 0.698
Experiment  140  summary: mean test accuracy:0.6993

Experiment  141 run  1 , total time: 2.284 learning rate: 0.008, smoothing factor: 0.0, test accuracy: 0.712
Experiment  141 run  2 , total time: 2.352 learning rate: 0.008, smoothing factor: 0.0, test accuracy: 0.737
Experiment  141 run  3 , total time: 2.271 learning rate: 0.008, smoothing factor: 0.0, test accuracy: 0.457
Experiment  141  summary: mean test accuracy:0.6353

Experiment  142 run  1 , total time: 2.386 learning rate: 0.008, smoothing factor: 0.1, test accuracy: 0.64
Experiment  142 run  2 , total time: 2.265 learning rate: 0.008, smoothing factor: 0.1, test accuracy: 0.658
Experiment  142 run  3 , total time: 2.425 learning rate: 0.008, smoothing factor: 0.1, test accuracy: 0.722
Experiment  142  summary: mean test accuracy:0.6733

Experiment  143 run  1 , total time: 2.285 learning rate: 0.008, smoothing factor: 0.2, test accuracy: 0.684
Experiment  143 run  2 , total time: 2.339 learning rate: 0.008, smoothing factor: 0.2, test accuracy: 0.694
Experiment  143 run  3 , total time: 2.402 learning rate: 0.008, smoothing factor: 0.2, test accuracy: 0.68
Experiment  143  summary: mean test accuracy:0.686

Experiment  144 run  1 , total time: 2.359 learning rate: 0.008, smoothing factor: 0.3, test accuracy: 0.678
Experiment  144 run  2 , total time: 2.295 learning rate: 0.008, smoothing factor: 0.3, test accuracy: 0.699
Experiment  144 run  3 , total time: 2.303 learning rate: 0.008, smoothing factor: 0.3, test accuracy: 0.625
Experiment  144  summary: mean test accuracy:0.6673

Experiment  145 run  1 , total time: 2.306 learning rate: 0.008, smoothing factor: 0.4, test accuracy: 0.677
Experiment  145 run  2 , total time: 2.314 learning rate: 0.008, smoothing factor: 0.4, test accuracy: 0.715
Experiment  145 run  3 , total time: 2.345 learning rate: 0.008, smoothing factor: 0.4, test accuracy: 0.725
Experiment  145  summary: mean test accuracy:0.7057

Experiment  146 run  1 , total time: 2.289 learning rate: 0.008, smoothing factor: 0.5, test accuracy: 0.616
Experiment  146 run  2 , total time: 2.407 learning rate: 0.008, smoothing factor: 0.5, test accuracy: 0.709
Experiment  146 run  3 , total time: 2.285 learning rate: 0.008, smoothing factor: 0.5, test accuracy: 0.731
Experiment  146  summary: mean test accuracy:0.6853

Experiment  147 run  1 , total time: 2.786 learning rate: 0.008, smoothing factor: 0.6, test accuracy: 0.662
Experiment  147 run  2 , total time: 2.871 learning rate: 0.008, smoothing factor: 0.6, test accuracy: 0.758
Experiment  147 run  3 , total time: 2.326 learning rate: 0.008, smoothing factor: 0.6, test accuracy: 0.749
Experiment  147  summary: mean test accuracy:0.723

Experiment  148 run  1 , total time: 2.295 learning rate: 0.008, smoothing factor: 0.7, test accuracy: 0.74
Experiment  148 run  2 , total time: 2.47 learning rate: 0.008, smoothing factor: 0.7, test accuracy: 0.735
Experiment  148 run  3 , total time: 3.001 learning rate: 0.008, smoothing factor: 0.7, test accuracy: 0.752
Experiment  148  summary: mean test accuracy:0.7423

Experiment  149 run  1 , total time: 2.596 learning rate: 0.008, smoothing factor: 0.8, test accuracy: 0.769
Experiment  149 run  2 , total time: 2.339 learning rate: 0.008, smoothing factor: 0.8, test accuracy: 0.718
Experiment  149 run  3 , total time: 2.397 learning rate: 0.008, smoothing factor: 0.8, test accuracy: 0.731
Experiment  149  summary: mean test accuracy:0.7393

Experiment  150 run  1 , total time: 2.338 learning rate: 0.008, smoothing factor: 0.9, test accuracy: 0.735
Experiment  150 run  2 , total time: 2.537 learning rate: 0.008, smoothing factor: 0.9, test accuracy: 0.688
Experiment  150 run  3 , total time: 2.418 learning rate: 0.008, smoothing factor: 0.9, test accuracy: 0.722
Experiment  150  summary: mean test accuracy:0.715

Experiment  151 run  1 , total time: 2.363 learning rate: 0.0085, smoothing factor: 0.0, test accuracy: 0.67
Experiment  151 run  2 , total time: 2.418 learning rate: 0.0085, smoothing factor: 0.0, test accuracy: 0.689
Experiment  151 run  3 , total time: 2.338 learning rate: 0.0085, smoothing factor: 0.0, test accuracy: 0.693
Experiment  151  summary: mean test accuracy:0.684

Experiment  152 run  1 , total time: 2.328 learning rate: 0.0085, smoothing factor: 0.1, test accuracy: 0.68
Experiment  152 run  2 , total time: 2.409 learning rate: 0.0085, smoothing factor: 0.1, test accuracy: 0.734
Experiment  152 run  3 , total time: 2.318 learning rate: 0.0085, smoothing factor: 0.1, test accuracy: 0.642
